0383
ANG_COM002
yyyy/MM/dd hh:mm:ss,Final Depth (mm),Final Flow (l/s),Final Velocity (m/s)
2021/12/04 06:55:00,104.12,110.7,2.7
2021/12/04 07:00:00,133,173,2.95
2021/12/04 07:05:00,134.72,177.5,2.97
2021/12/04 07:10:00,136.44,182.1,3
2021/12/04 07:15:00,138.16,186.7,3.02
2021/12/04 07:20:00,134.66,180.5,3.03
2021/12/04 07:25:00,131.16,174.3,3.04
2021/12/04 07:30:00,130.18,172.9,3.05
2021/12/04 07:35:00,129.2,171.6,3.06
2021/12/04 07:40:00,126.1,162.7,3
2021/12/04 07:45:00,121.38,151.2,2.95
2021/12/04 07:50:00,120.46,147.3,2.91
2021/12/04 07:54:07,,,2.87
2021/12/04 07:55:00,120.72,145.4,2.86
2021/12/04 08:00:00,120.98,143,2.8
2021/12/04 08:05:00,120.06,138.6,2.75
2021/12/04 08:10:00,119.14,139.2,2.79
2021/12/04 08:15:00,117.73,136.6,2.79
2021/12/04 08:20:00,116.32,134.1,2.78
2021/12/04 08:25:00,115.25,130.2,2.74
2021/12/04 08:30:00,113.01,125.8,2.72
2021/12/04 08:35:00,111.62,122.8,2.71
2021/12/04 08:40:00,109.34,118.4,2.69
2021/12/04 08:45:00,108.46,117,2.69
2021/12/04 08:50:00,107.59,115.6,2.69
2021/12/04 08:55:00,108.52,115.3,2.65
2021/12/04 09:00:00,108.45,115.7,2.66
2021/12/04 09:05:00,106.74,112.7,2.65
2021/12/04 09:10:00,106.71,112.5,2.65
2021/12/04 09:15:00,105.48,109.9,2.63
2021/12/04 09:20:00,104.37,110.1,2.68
2021/12/04 09:25:00,102.48,108.3,2.7
2021/12/04 09:30:00,102.13,104.1,2.61
2021/12/04 09:35:00,101.26,102.5,2.61
2021/12/04 09:40:00,101.03,103.4,2.64
2021/12/04 09:45:00,101.03,103.1,2.63
2021/12/04 09:50:00,101.07,104.8,2.67
2021/12/04 09:55:00,101.43,104,2.64
2021/12/04 10:00:00,101.09,103.6,2.64
2021/12/04 10:05:00,95.81,95.89,2.64
2021/12/04 10:10:00,87.97,84.72,2.65
2021/12/04 10:15:00,92.43,89.62,2.6
2021/12/04 10:20:00,93.96,92.12,2.61
2021/12/04 10:25:00,95.28,95.61,2.66
2021/12/04 10:30:00,95.81,96.14,2.65
2021/12/04 10:35:00,95.52,94.52,2.62
2021/12/04 10:40:00,96.15,95.66,2.62
2021/12/04 10:45:00,96.29,93.76,2.56
2021/12/04 10:50:00,96.66,94.81,2.58
2021/12/04 10:55:00,95.9,94.03,2.59
2021/12/04 11:00:00,96.27,95.62,2.62
2021/12/04 11:05:00,96.88,96.46,2.61
2021/12/04 11:10:00,96.91,95.74,2.59
2021/12/04 11:15:00,95.99,93.72,2.58
2021/12/04 11:20:00,95.63,93.65,2.59
2021/12/04 11:25:00,96.83,95.98,2.6
2021/12/04 11:30:00,97.27,97.9,2.64
2021/12/04 11:35:00,97.8,98.68,2.64
2021/12/04 11:40:00,98.49,101.2,2.68
2021/12/04 11:45:00,98.04,99.49,2.65
2021/12/04 11:50:00,97.87,98.59,2.63
2021/12/04 11:55:00,97.06,96.49,2.61
2021/12/04 12:00:00,96.67,96.35,2.62
2021/12/04 12:05:00,97.07,98.14,2.65
2021/12/04 12:10:00,97.06,99.21,2.68
2021/12/04 12:15:00,97.24,97.97,2.64
2021/12/04 12:20:00,98.1,98.17,2.61
2021/12/04 12:25:00,97.34,97.25,2.62
2021/12/04 12:30:00,96.58,96.33,2.62
2021/12/04 12:35:00,96.37,95.21,2.6
2021/12/04 12:40:00,96.15,94.1,2.58
2021/12/04 12:45:00,95.35,93.28,2.59
2021/12/04 12:50:00,94.22,91.29,2.58
2021/12/04 12:55:00,94.45,91.23,2.57
2021/12/04 13:00:00,87.41,81.91,2.58
2021/12/04 13:05:00,88.04,82.83,2.58
2021/12/04 13:10:00,88.09,83.26,2.6
2021/12/04 13:15:00,85.35,79.04,2.58
2021/12/04 13:20:00,85.89,78.62,2.54
2021/12/04 13:25:00,86.4,80.6,2.58
2021/12/04 13:30:00,86.25,80.69,2.59
2021/12/04 13:35:00,85.95,79.46,2.57
2021/12/04 13:40:00,85.94,78.92,2.55
2021/12/04 13:45:00,87.38,81.49,2.57
2021/12/04 13:50:00,87.16,81.06,2.57
2021/12/04 13:55:00,87.21,81.67,2.58
2021/12/04 14:00:00,86.86,81.17,2.58
2021/12/04 14:05:00,86.47,80.09,2.56
2021/12/04 14:10:00,86.61,81.22,2.6
2021/12/04 14:15:00,86.3,80.39,2.58
2021/12/04 14:20:00,85.61,79.17,2.57
2021/12/04 14:25:00,85.74,78.73,2.55
2021/12/04 14:30:00,84.21,77.56,2.58
2021/12/04 14:35:00,84.48,77.63,2.57
2021/12/04 14:40:00,84.02,77.31,2.58
2021/12/04 14:45:00,84.36,77.88,2.59
2021/12/04 14:50:00,85.89,80.79,2.61
2021/12/04 14:55:00,85.75,81.51,2.64
2021/12/04 15:00:00,85.19,79.32,2.6
2021/12/04 15:05:00,85.75,80.05,2.6
2021/12/04 15:10:00,85.56,80.04,2.6
2021/12/04 15:15:00,85.45,79.38,2.59
2021/12/04 15:20:00,85.06,79.44,2.61
2021/12/04 15:25:00,85.04,78.49,2.58
2021/12/04 15:30:00,85.61,80.57,2.62
2021/12/04 15:35:00,85.48,80.79,2.63
2021/12/04 15:40:00,84.12,76.81,2.56
2021/12/04 15:45:00,81.27,71.68,2.52
2021/12/04 15:50:00,82.22,74.25,2.56
2021/12/04 15:55:00,82.34,75.22,2.59
2021/12/04 16:00:00,81.36,72.34,2.53
2021/12/04 16:05:00,79.32,69.55,2.53
2021/12/04 16:10:00,82.45,75.68,2.6
2021/12/04 16:15:00,82.47,77.12,2.65
2021/12/04 16:20:00,82.88,76.59,2.61
2021/12/04 16:25:00,81.54,73.83,2.58
2021/12/04 16:30:00,81.94,74.89,2.6
2021/12/04 16:35:00,81.89,75.73,2.63
2021/12/04 16:40:00,82.25,74.84,2.58
2021/12/04 16:45:00,82.06,74.69,2.58
2021/12/04 16:50:00,81.92,74.14,2.57
2021/12/04 16:55:00,82.22,74.41,2.57
2021/12/04 17:00:00,81.32,74.03,2.6
2021/12/04 17:05:00,81.41,73.9,2.59
2021/12/04 17:10:00,81.09,74.1,2.61
2021/12/04 17:15:00,81.13,73.92,2.6
2021/12/04 17:20:00,82.27,74.8,2.58
2021/12/04 17:25:00,82.38,75.59,2.6
2021/12/04 17:30:00,82.26,76.23,2.63
2021/12/04 17:35:00,82.39,75.24,2.59
2021/12/04 17:40:00,82.11,74.87,2.59
2021/12/04 17:45:00,82.66,76.07,2.6
2021/12/04 17:50:00,81.99,74.42,2.58
2021/12/04 17:55:00,81.73,72.78,2.53
2021/12/04 18:00:00,81.15,72.84,2.56
2021/12/04 18:05:00,83.38,74.89,2.53
2021/12/04 18:10:00,81.21,71.4,2.51
2021/12/04 18:15:00,81.76,74.23,2.58
2021/12/04 18:20:00,81.09,74.47,2.62
2021/12/04 18:25:00,82.13,76.06,2.63
2021/12/04 18:30:00,80.45,72.39,2.58
2021/12/04 18:35:00,80.36,71.14,2.54
2021/12/04 18:40:00,81.03,72.75,2.56
2021/12/04 18:45:00,80.86,73.58,2.6
2021/12/04 18:50:00,81.38,74.26,2.6
2021/12/04 18:55:00,81.6,74.53,2.6
2021/12/04 19:00:00,81.25,74.73,2.62
2021/12/04 19:05:00,81.06,73.68,2.6
2021/12/04 19:10:00,80.72,73.15,2.59
2021/12/04 19:15:00,81.02,72.75,2.56
2021/12/04 19:20:00,79.79,71.68,2.58
2021/12/04 19:25:00,79.97,71.61,2.57
2021/12/04 19:30:00,80.32,73.33,2.62
2021/12/04 19:35:00,79.93,72.64,2.61
2021/12/04 19:40:00,79.91,71.64,2.58
2021/12/04 19:45:00,80.02,72.73,2.61
2021/12/04 19:50:00,80.89,73.27,2.59
2021/12/04 19:55:00,82.04,75.17,2.6
2021/12/04 20:00:00,82.25,74.74,2.58
2021/12/04 20:05:00,81.29,72.74,2.55
2021/12/04 20:10:00,81.27,73.25,2.57
2021/12/04 20:15:00,81.4,74.09,2.59
2021/12/04 20:20:00,81.48,74.05,2.59
2021/12/04 20:25:00,80.92,72.11,2.55
2021/12/04 20:30:00,79.83,70.83,2.55
2021/12/04 20:35:00,84.08,78.25,2.61
2021/12/04 20:40:00,84.47,80.62,2.67
2021/12/04 20:45:00,85.39,81.11,2.65
2021/12/04 20:50:00,85.51,79.52,2.59
2021/12/04 20:55:00,85.7,78.76,2.56
2021/12/04 21:00:00,85.91,79.11,2.56
2021/12/04 21:05:00,86.16,80.27,2.58
2021/12/04 21:10:00,85.96,79.47,2.57
2021/12/04 21:15:00,86.11,79.56,2.56
2021/12/04 21:20:00,85.19,78.64,2.57
2021/12/04 21:25:00,85.02,77.86,2.56
2021/12/04 21:30:00,84.64,79.29,2.62
2021/12/04 21:35:00,85.48,79.92,2.6
2021/12/04 21:40:00,85.87,79.97,2.59
2021/12/04 21:45:00,85.43,80.44,2.62
2021/12/04 21:50:00,85.8,79.98,2.59
2021/12/04 21:55:00,85.78,78.02,2.53
